Italia;60589085;6864
Piemonte;4392526;499
Valle d'Aosta;126883;30
Lombardia;10018806;1600
Liguria;1565307;186
Veneto;4907529;600
Fiuli Venezia Giulia;1217872;127
P.A Trento;531430;89
P.A Bolzano;531430;89
Emilia-Romagna;4448841;539
Toscana;3742437;447
Umbria;888908;70
Marche;1538055;168
Abruzzo;1322247;109
Molise;310449;31
Lazio;5898124;675
Campania;5839084;586
Basilicata;570365;49
Calabria;1965128;153
Puglia;4063888;302
Sicilia;5056641;392
Sardegna;1653135;123
